,start_time,end_time,start_soc,end_soc,ev_id,station_type,station_power
67,2023-01-02 08:37:53.217428,2023-01-02 08:53:44.467987,0.99802726,0.9119212445185185,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
68,2023-01-02 08:55:49.697254,2023-01-02 08:58:20.022310,0.9119212445185185,0.9860810133407407,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
69,2023-01-02 18:59:45.326488,2023-01-02 19:15:35.078994,0.9860810133407407,0.9120599531859259,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
70,2023-01-02 19:18:10.354075,2023-01-02 19:20:54.929326,0.9120599531859259,0.9847615508741482,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
71,2023-01-02 19:20:54.929326,2023-01-02 19:22:49.217694,0.9847615508741482,0.9984761550874148,36aa45650919461a8c397b1f607852e1,Residential Slow (7.2 kW),7.2
72,2023-01-03 08:38:27.559023,2023-01-03 08:54:18.804776,0.9984761550874148,0.9119216895828156,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
73,2023-01-03 08:54:46.586718,2023-01-03 08:56:34.111293,0.9119216895828156,0.9900440208101334,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
74,2023-01-03 19:00:54.393755,2023-01-03 19:16:44.666213,0.9900440208101334,0.9120118094884208,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
75,2023-01-03 19:17:34.779006,2023-01-03 19:19:32.286252,0.9120118094884208,0.9891196994673606,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
76,2023-01-03 19:19:32.286252,2023-01-03 19:20:53.888506,0.9891196994673606,0.998911969946736,36aa45650919461a8c397b1f607852e1,Residential Slow (7.2 kW),7.2
77,2023-01-04 08:36:20.839690,2023-01-04 08:52:12.094762,0.998911969946736,0.9119208266243033,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
78,2023-01-04 08:56:00.679707,2023-01-04 08:59:18.205214,0.9119208266243033,0.9817106011809489,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
79,2023-01-04 18:58:46.468581,2023-01-04 19:14:35.661132,0.9817106011809489,0.9121118008588356,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
80,2023-01-04 19:19:11.869488,2023-01-04 19:22:49.828743,0.9121118008588356,0.979818587493291,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
81,2023-01-04 19:22:49.828743,2023-01-04 19:25:21.189337,0.979818587493291,0.9979818587493291,36aa45650919461a8c397b1f607852e1,Residential Slow (7.2 kW),7.2
82,2023-01-05 08:36:43.747363,2023-01-05 08:52:34.886956,0.9979818587493291,0.9119315192082662,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
83,2023-01-05 08:55:03.622758,2023-01-05 08:57:44.576717,0.9119315192082662,0.9850968556245303,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
84,2023-01-05 19:03:15.160660,2023-01-05 19:19:04.856056,0.9850968556245303,0.9120652411180086,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
85,2023-01-05 19:22:08.822472,2023-01-05 19:25:04.992012,0.9120652411180086,0.9836880055932824,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
86,2023-01-05 19:25:04.992012,2023-01-05 19:27:07.331970,0.9836880055932824,0.9983688005593282,36aa45650919461a8c397b1f607852e1,Residential Slow (7.2 kW),7.2
87,2023-01-06 08:30:21.700871,2023-01-06 08:46:12.902566,0.9983688005593282,0.9119257689448217,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
88,2023-01-06 08:47:50.871228,2023-01-06 08:50:09.831398,0.9119257689448217,0.9871333176352229,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
89,2023-01-06 18:59:57.487097,2023-01-06 19:15:47.383114,0.9871333176352229,0.9120466650968556,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
90,2023-01-06 19:17:55.742153,2023-01-06 19:20:28.011755,0.9120466650968556,0.9859009628059818,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
91,2023-01-06 19:20:28.011755,2023-01-06 19:22:13.754534,0.9859009628059818,0.9985900962805981,36aa45650919461a8c397b1f607852e1,Residential Slow (7.2 kW),7.2
92,2023-01-07 08:30:33.977793,2023-01-07 08:46:25.260489,0.9985900962805981,0.9119182688873191,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
93,2023-01-07 08:49:51.432366,2023-01-07 08:52:58.320636,0.9119182688873191,0.9826955305924356,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
94,2023-01-07 19:03:14.159362,2023-01-07 19:19:03.568189,0.9826955305924356,0.9120917752814657,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
95,2023-01-07 19:23:15.253827,2023-01-07 19:26:40.994710,0.9120917752814657,0.9809499182688872,36aa45650919461a8c397b1f607852e1,Public Fast (50 kW),50.0
96,2023-01-01 19:02:33.656904,2023-01-02 02:21:09.953200,0.6626115859449193,0.966261158594492,1edea7e1f7b0f8be4ab2de7c86e8bd81,Residential Slow (3.6 kW),3.6
97,2023-01-02 19:04:38.555088,2023-01-03 02:38:52.406940,0.6505916429249763,0.9650591642924977,1edea7e1f7b0f8be4ab2de7c86e8bd81,Residential Slow (3.6 kW),3.6
98,2023-01-03 19:09:53.643421,2023-01-04 02:52:24.213791,0.6442234567901235,0.9644223456790124,1edea7e1f7b0f8be4ab2de7c86e8bd81,Residential Slow (3.6 kW),3.6
99,2023-01-04 19:07:00.362823,2023-01-05 02:50:28.506280,0.6434853402975627,0.9643485340297563,1edea7e1f7b0f8be4ab2de7c86e8bd81,Residential Slow (3.6 kW),3.6
100,2023-01-05 19:00:03.031725,2023-01-06 02:19:19.154713,0.6621009873377651,0.9662100987337765,1edea7e1f7b0f8be4ab2de7c86e8bd81,Residential Slow (3.6 kW),3.6
101,2023-01-06 19:04:55.729695,2023-01-07 02:59:18.502488,0.6350926565052231,0.9635092656505223,1edea7e1f7b0f8be4ab2de7c86e8bd81,Residential Slow (3.6 kW),3.6
102,2023-01-01 18:37:40.194255,2023-01-01 19:08:40.441169,0.9432467043314501,0.994324670433145,7b11bbc01a77259a5e1fc4b563c38fe2,Residential Slow (7.2 kW),7.2
103,2023-01-02 18:30:41.113264,2023-01-02 18:53:50.779931,0.9576033898305085,0.9957603389830508,7b11bbc01a77259a5e1fc4b563c38fe2,Residential Slow (7.2 kW),7.2
